Output Human Lives Saved from Reduced Particulate Pollution,MostRecentRun	CurrentRunNumber=5	Feebate=1	ImprovedLabeling=0	CarbonTaxTrans=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2
Output Total CO2e Emissions,MostRecentRun	CurrentRunNumber=6	Feebate=1	ImprovedLabeling=0	CarbonTaxTrans=300,282.535,283.121,284.849,281.464,283.093,284.113,285.63,286.241,287.824,290.034,289.757,288.321,287.878,284.502,287.544,288.1,289.972,290.609,291.204,292.525,291.764,291.612,292.061,290.841,291.446,292.015,292.942,293.93,293.526,294.359,295.332,296.345,297.366,298.409
Output Total Change in Capital Fuel and OM Expenditures,MostRecentRun	CurrentRunNumber=6	Feebate=1	ImprovedLabeling=0	CarbonTaxTrans=300,0,0,0.2234,0.43755,0.64365,0.8393,1.02845,1.2096,1.38675,1.5564,1.71275,1.8625,2.0055,2.1429,2.2764,2.404,2.5295,2.6526,2.77005,2.88725,2.99245,3.12815,3.2182,3.28,3.3644,3.4566,3.55475,3.66425,3.7581,3.84655,3.9314,4.02775,4.115,4.20665
Output Social Benefits from Emissions Reduction,MostRecentRun	CurrentRunNumber=6	Feebate=1	ImprovedLabeling=0	CarbonTaxTrans=300,0,0,0.0082,0.017,0.0263,0.03615,0.0464,0.05705,0.06805,0.0789,0.0911,0.10215,0.11505,0.12985,0.1438,0.15895,0.17365,0.18975,0.20565,0.2219,0.2733,0.2652,0.27685,0.286,0.2966,0.31885,0.33955,0.3566,0.3724,0.3926,0.41325,0.43245,0.45315,0.47265
Output Human Lives Saved from Reduced Particulate Pollution,MostRecentRun	CurrentRunNumber=6	Feebate=1	ImprovedLabeling=0	CarbonTaxTrans=300,0,0,0,0,1,1,2,2,2,3,3,3,4,4,5,5,6,6,7,7,12,11,11,11,11,12,13,13,14,15,15,16,17,18
Output Total CO2e Emissions,MostRecentRun	CurrentRunNumber=7	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=0,282.535,283.121,284.857,281.484,283.134,284.181,285.723,286.379,287.978,290.196,289.943,288.521,288.351,284.865,287.926,288.509,290.45,291.15,291.808,293.19,292.55,292.34,292.862,291.702,292.37,293.071,294.115,295.208,294.88,295.818,296.891,297.999,299.106,300.233
Output Total Change in Capital Fuel and OM Expenditures,MostRecentRun	CurrentRunNumber=7	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=0,0,0,0.17555,0.16405,0.1441,0.1179,0.08665,0.05215,0.0116,-0.03085,-0.07005,-0.1104,-0.15075,-0.2199,-0.2537,-0.26425,-0.3041,-0.34325,-0.3728,-0.39645,-0.41905,-0.4323,-0.4446,-0.4555,-0.4649,-0.4724,-0.47955,-0.4865,-0.49375,-0.5022,-0.5098,-0.5185,-0.52935,-0.53795
Output Social Benefits from Emissions Reduction,MostRecentRun	CurrentRunNumber=7	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=0,0,0,0.01095,0.01885,0.0255,0.03385,0.0428,0.0476,0.05865,0.0719,0.0852,0.0962,0.0042,0.06685,0.07985,0.09205,0.09855,0.1071,0.11575,0.12465,0.13725,0.1412,0.1451,0.15225,0.16015,0.16525,0.1702,0.1751,0.18225,0.1878,0.1936,0.19835,0.2053,0.2113
Output Human Lives Saved from Reduced Particulate Pollution,MostRecentRun	CurrentRunNumber=7	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=0,0,0,0,1,1,1,2,2,2,3,3,4,-7,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
Output Total CO2e Emissions,MostRecentRun	CurrentRunNumber=8	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=300,282.535,283.121,284.769,281.31,282.876,283.841,285.301,285.878,287.401,289.531,289.182,287.675,287.423,283.855,286.821,287.303,289.132,289.728,290.281,291.551,290.73,290.579,291.021,289.793,290.388,290.943,291.863,292.844,292.43,293.25,294.219,295.225,296.241,297.278
Output Total Change in Capital Fuel and OM Expenditures,MostRecentRun	CurrentRunNumber=8	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=300,0,0,0.39085,0.59135,0.78085,0.95825,1.12815,1.2907,1.446,1.59425,1.7367,1.8732,2.004,2.0992,2.2261,2.3708,2.48285,2.59185,2.69955,2.807,2.90325,3.0371,3.12355,3.1808,3.2624,3.35045,3.4468,3.55515,3.6453,3.72985,3.812,3.90505,3.9876,4.07525
Output Social Benefits from Emissions Reduction,MostRecentRun	CurrentRunNumber=8	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=300,0,0,0.0184,0.0338,0.0478,0.06355,0.07985,0.0919,0.1099,0.13235,0.1536,0.1736,0.08995,0.16235,0.1861,0.21005,0.22975,0.25075,0.272,0.29485,0.35765,0.35025,0.364,0.3775,0.3934,0.4189,0.44175,0.461,0.48085,0.50415,0.527,0.54835,0.5713,0.59305
Output Human Lives Saved from Reduced Particulate Pollution,MostRecentRun	CurrentRunNumber=8	Feebate=1	ImprovedLabeling=1	CarbonTaxTrans=300,0,0,1,2,2,3,4,4,5,6,7,8,-2,4,5,6,7,7,8,9,15,13,14,14,14,16,17,17,18,19,20,20,21,22
